Venue_ID,Original_Name,Suggested_Name,City,Latitude,Longitude
13057,"Van Riebeeck Stadium, Mossel Bay",Van Riebeeck Stadium,Mossel Bay,-34.1832022,22.1536248
13058,"Langenhoven Gimnasium, Oudtshoorn",Langenhoven Gimnasium,Oudtshoorn,-33.5902954,22.204206
13059,"Military Ground, Oudtshoorn",Military Ground,Oudtshoorn,-33.5902954,22.204206
13060,"Parys A Ground, Paarl",Parys A Ground,Paarl,-33.7310282,18.9642117
13061,"Collegians Cricket Club Ground, Pietermaritzburg",Collegians Ground,Pietermaritzburg,-29.6,30.3788889
13062,"Varsity Oval 2, Pietermaritzburg",Varsity Oval 2,Pietermaritzburg,-29.6,30.3788889
13063,"Woodlands, Pietermaritzburg",Woodlands,Pietermaritzburg,-29.6,30.3788889
13065,"Polokwane Cricket Club 2 Ground, Polokwane",Polokwane Outer Oval,Polokwane,-23.9058333,29.4613889
13066,"Capricorn High School, Polokwane",Capricorn High School,Polokwane,-23.9058333,29.4613889
13067,"Nirvana, Polokwane",Nirvana,Polokwane,-23.9058333,29.4613889
13071,"Victoria Pirates Ground, Port Elizabeth",Victoria Pirates Ground,Port Elizabeth,-33.9618598,25.6186731
13074,"Stapelberg Stadium, Potchefstroom",Stapelberg Stadium,Potchefstroom,-26.707778,27.095833
13079,"Pullenshope Cricket Club Ground, Pullenshope",Pullens Hope Ground,Pullenshope,-26.015,29.5922222
13080,"Fields College Ground, Rustenburg",Fields College Ground,Rustenburg,-25.665655,27.241448
13086,"Tshwane University of Techonology, Witbank",TUT Witbank,Witbank,-25.8762409,29.2099962
13087,"Witbank High School Ground, Witbank",Witbank High School Ground,Witbank,-25.8762409,29.2099962
13206,"University of Johannesburg West Sports Oval 1, Johannesburg",UJ West Oval,Johannesburg,-26.205,28.049722
13354,"Pearson High School, Port Elizabeth",Pearson High School,Port Elizabeth,-33.9618598,25.6186731
13908,"Oudtshoorn High School, Oudtshoorn",Oudtshoorn High School,Oudtshoorn,-33.5902954,22.204206
13966,"Hammanskraal Oval, Hammanskraal",Hammanskraal Oval,Hammanskraal,-25.4083333,28.2872222
14184,"Cecil Payne Stadium, Roodepoort",Cecil Payne Stadium,Roodepoort,-26.1563889,27.8858333
14232,"Muir Old Boys Club Ground, Uitenhage",Muir Old Boys Club Ground,Uitenhage,-33.7678979,25.3978174
14417,"St Andrew's School Chapel Field, Bloemfontein",St. Andrews Chapel,Bloemfontein,-29.116395,26.215496
14429,"Uplands College, White River",Uplands College,White River,-25.326389,31.014444
14431,"White River Country Club, White River",White River Country Club,White River,-25.326389,31.014444
14754,"Steyn School, Dainfern",Steyn School,Dainfern,-25.9847399,27.9967809
14765,"Cambridge Academy, Emalahleni",Cambridge Academy,Emalahleni,-25.8762409,29.2099962
14801,"St Dominic's Priory School, Port Elizabeth",St Dominic's Priory School,Port Elizabeth,-33.9618598,25.6186731
15339,"Westering High School, Gqeberha",Westering High School,Gqeberha,-33.9618598,25.6186731
15406,"Union Cricket Ground, Witbank",Union Cricket Ground,Witbank,-25.8762409,29.2099962
15421,"Summerwood Primary School, Gqeberha",Summerwood Primary School,Gqeberha,-33.9618598,25.6186731
15422,"Steyn City, Johannesburg",Steyn City,Johannesburg,-26.205,28.049722
16592,"St Benedict's Main Oval, Johannesburg",St Benedict's Main Oval,Johannesburg,-26.205,28.049722
16807,"Nelson Mandela University, George",NMMU Main Oval,George,-33.9597212,22.4587148
17042,"Greenbushes-Caledonian Cricket Club, Gqeberha",Greenbushes-Caledonian Cricket Club,Gqeberha,-33.9618598,25.6186731
