Tournament,Season,Format,Team_Name,Team_ID,Division_ID,Final_Position,Finish_Type,Position,Champion,Runner_Up,Division_Position,Pool_Label,Matches_Played,Wins,Losses,Ties,No_Results,Points,Net_Run_Rate
Women's Provincial League 2009/10,09/10,List A,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Highveld,6,1,4,0,0,7,-2.279
Women's Provincial League 2009/10,09/10,List A,Titans,TITA,D1,,SEMI_FINALIST,2,0,0,2,Highveld,6,4,2,0,0,20,3.059
Women's Provincial League 2009/10,09/10,List A,Tuskers,TUSK,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Central,8,4,4,0,0,20,-0.685
Women's Provincial League 2009/10,09/10,List A,Warriors,EAST,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,West/East,8,3,5,0,0,13,-0.619
Women's Provincial League 2009/10,09/10,List A,Western Province,WEST,D1,2,RUNNER_UP,2,0,1,1,West/East,8,7,1,0,0,35,2.42
CSA Women's Provincial League 2010/11,10/11,List A,Badgers,BADG,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,West/East,10,2,8,0,0,10,-0.561
CSA Women's Provincial League 2010/11,10/11,List A,Boland,BOLA,D1,,SEMI_FINALIST,1,0,0,1,West/East,10,9,0,0,0,46,4.095
CSA Women's Provincial League 2010/11,10/11,List A,Dolphins,DOLP,D1,2,RUNNER_UP,2,0,1,1,Central,8,7,0,0,1,37,2.628
CSA Women's Provincial League 2010/11,10/11,List A,Dragons,DRAG,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Central,8,1,6,0,1,7,-2.479
CSA Women's Provincial League 2010/11,10/11,List A,Eastern Storm,STOR,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Highveld,8,1,7,0,0,5,-2.539
CSA Women's Provincial League 2010/11,10/11,List A,Heat,HEAT,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Central,8,5,3,0,0,24,1.246
CSA Women's Provincial League 2010/11,10/11,List A,Iinyathi,IINY,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,West/East,10,5,3,0,0,29,0.95
CSA Women's Provincial League 2010/11,10/11,List A,Kei,KEI,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,West/East,10,0,10,0,0,0,-7.274
CSA Women's Provincial League 2010/11,10/11,List A,Knights,KNIG,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Central,8,3,5,0,0,14,-0.723
